PC1,PC2,Symbol,Cluster
-0.6052974951066598,5.064409411062001,RELIANCE.NS,2
-1.917969340187743,0.14094902585894983,TCS.NS,1
-0.04238590485198352,2.890614499879622,INFY.NS,2
-3.4600042775732245,4.839814216040177,HDFCBANK.NS,2
-3.477743358829178,3.6834264315282432,ICICIBANK.NS,2
-3.869506611075423,0.8750844644605928,ITC.NS,0
-2.7967315247307516,-1.2039450416645276,LT.NS,1
-2.2180598687418795,0.6798904006916009,KOTAKBANK.NS,1
-1.5150463771021028,2.0478700278654367,SBIN.NS,0
-0.4336089393561441,1.9346506959367513,BHARTIARTL.NS,2
-2.778578387915383,0.9525847071845531,AXISBANK.NS,1
-0.5137993388938439,-1.4961633798335254,HCLTECH.NS,3
-0.7591706735930159,-0.9433833765941873,MARUTI.NS,1
2.9113813256779597,-1.0582003165122735,ASIANPAINT.NS,3
2.2775269064520898,-0.26260857756667927,WIPRO.NS,3
3.7161491284252377,-0.5727864279469532,ULTRACEMCO.NS,3
0.3300740665494961,-1.3506102718099842,HINDUNILVR.NS,1
-1.4423841630876415,3.40301039467049,BAJFINANCE.NS,2
-2.183446474609788,1.8580842807040567,NTPC.NS,0
1.5730701671390228,-1.0617976505584197,TITAN.NS,3
-1.9689487406301986,-1.746039668233827,SUNPHARMA.NS,1
0.47546162239069634,-1.3546838321879322,TECHM.NS,3
0.5105106427969544,0.4871094812661617,INDUSINDBK.NS,3
-0.8535365078244486,0.8852083912867132,POWERGRID.NS,0
1.5570878106254886,-1.4924885601432256,JSWSTEEL.NS,3
0.10270323222600639,-1.9291128545907892,ADANIENT.NS,3
-1.097502854480897,-1.0123860652473302,BAJAJFINSV.NS,1
0.02547432753911644,-2.0938809678304815,CIPLA.NS,1
-3.7299402048532713,-1.8819472824809098,COALINDIA.NS,0
0.04126206877389254,-2.2435672893540866,EICHERMOT.NS,3
2.0561440223173815,-0.3530586425868993,HINDALCO.NS,3
-0.24923649386807956,0.9129547570439597,ONGC.NS,0
-1.0506454729396588,-2.422228580630276,TATACONSUM.NS,1
-0.9727457342030578,-2.2688102086956303,NESTLEIND.NS,1
0.0511751289702047,-1.2710224365984542,DRREDDY.NS,1
-1.6984848997708653,-0.5799124995536612,M&M.NS,1
0.7380141344703511,-2.1032964826640392,GRASIM.NS,3
-0.25599188375911397,-1.3627834045573228,HDFCLIFE.NS,1
0.8516740279372635,-2.181920270536769,BRITANNIA.NS,3
3.988152290467231,0.6120549233239305,APOLLOHOSP.NS,3
2.385748144324696,-1.4177078260994616,DIVISLAB.NS,3
6.7503079495805185,2.7189733798275384,BPCL.NS,4
-1.185057203102208,-1.9928023435615987,SBILIFE.NS,1
-1.3354390067440578,1.1012313758427963,TATAMOTORS.NS,0
0.4849834237837732,-1.4855379225749954,HEROMOTOCO.NS,1
-1.2739484730181585,-2.437205822556379,BAJAJ-AUTO.NS,1
5.703258457347776,-0.43125316266275854,UPL.NS,4
2.4641777709145,6.2176203943390025,TATASTEEL.NS,4
-0.6437736182322199,-1.6415047133939493,ADANIPORTS.NS,1
5.334647180371336,2.3471046204147545,IOC.NS,4
