Date,RELIANCE.NS_rsi_14,RELIANCE.NS_sma_20,RELIANCE.NS_sma_50,RELIANCE.NS_bb_upper,RELIANCE.NS_bb_middle,RELIANCE.NS_bb_lower,TCS.NS_rsi_14,TCS.NS_sma_20,TCS.NS_sma_50,TCS.NS_bb_upper,TCS.NS_bb_middle,TCS.NS_bb_lower,INFY.NS_rsi_14,INFY.NS_sma_20,INFY.NS_sma_50,INFY.NS_bb_upper,INFY.NS_bb_middle,INFY.NS_bb_lower
2025-02-18,41.11788625856315,1246.9100036621094,,1291.5927915658733,1246.9100036621094,1202.2272157583454,21.12766836558434,4001.4808959960938,,4168.963029286275,4001.4808959960938,3833.9987627059127,48.22539898729172,1841.9066833496095,,1890.5375256878424,1841.9066833496095,1793.2758410113765
2025-02-19,37.07517401197655,1245.1,,1289.8603275317503,1245.1,1200.3396724682495,15.044727739065891,3983.57255859375,,4177.229628328036,3983.57255859375,3789.9154888594644,36.015418527622934,1839.2121032714845,,1893.974404336842,1839.2121032714845,1784.4498022061268
2025-02-20,39.515607090928974,1244.4349975585938,,1289.5143152376152,1244.4349975585938,1199.3556798795723,16.239513187707857,3965.0893432617186,,4175.463992663557,3965.0893432617186,3754.71469385988,44.36802762288041,1836.732000732422,,1893.982462279805,1836.732000732422,1779.4815391850389
2025-02-21,43.514801851078786,1244.375,,1289.541961981871,1244.375,1199.208038018129,17.67131021550695,3951.2548217773438,,4179.474524803717,3951.2548217773438,3723.03511875097,39.53636427509854,1836.3868530273437,,1894.72586868088,1836.3868530273437,1778.0478373738074
2025-02-24,18.218709296221377,1243.382501220703,,1290.3104082082864,1243.382501220703,1196.4545942331197,7.630426306149758,3933.1804809570312,,4197.913211738944,3933.1804809570312,3668.447750175119,22.644172343627446,1833.1498962402343,,1904.666414495195,1833.1498962402343,1761.6333779852735
2025-02-25,17.65482788860224,1241.8075012207032,,1291.8597270706184,1241.8075012207032,1191.755275370788,7.204500774672596,3909.875134277344,,4206.393626164086,3909.875134277344,3613.356642390602,23.926618562144256,1827.551171875,,1908.6999841918955,1827.551171875,1746.4023595581043
2025-02-27,17.474868677172495,1239.5099975585938,,1291.5675916392324,1239.5099975585938,1187.4524034779552,7.090763517289162,3885.714892578125,,4207.0834949036025,3885.714892578125,3564.3462902526467,17.50053162080559,1822.8350341796875,,1912.8499238591326,1822.8350341796875,1732.8201445002423
2025-02-28,18.761730375704104,1236.2599975585938,,1289.6887894978156,1236.2599975585938,1182.831205619372,6.227507413793305,3854.5345458984375,,4216.5386839336325,3854.5345458984375,3492.530407863242,13.699773731835037,1813.363299560547,,1926.5732510976259,1813.363299560547,1700.153348023468
2025-03-03,16.33986602187491,1231.5924987792969,,1290.6142692842031,1231.5924987792969,1172.5707282743906,6.564465424269031,3825.7850830078123,,4216.848063722754,3825.7850830078123,3434.7221022928707,20.898288748017862,1806.3248291015625,,1933.0161683694605,1806.3248291015625,1679.6334898336645
2025-03-04,17.70695763255901,1227.3924987792968,,1293.640025545676,1227.3924987792968,1161.1449720129176,13.537291867259611,3799.1914672851562,,4203.1055304704,3799.1914672851562,3395.277404099913,19.84547728781523,1797.6962341308595,,1938.2149566917897,1797.6962341308595,1657.1775115699293
2025-03-05,31.102869188139294,1221.9125,,1286.1270195695242,1221.9125,1157.6979804304756,16.02899764898514,3771.4381591796873,,4173.025678920906,3771.4381591796873,3369.850639438469,26.404213912939,1788.4611694335938,,1932.5255802587217,1788.4611694335938,1644.396758608466
2025-03-06,47.709653110171324,1218.4825012207032,,1277.1244473224292,1218.4825012207032,1159.8405551189771,24.619583275927738,3747.1787841796877,,4135.0105751864285,3747.1787841796877,3359.3469931729464,29.16935352963732,1779.526873779297,,1924.2707718284619,1779.526873779297,1634.782975730132
2025-03-07,58.99421321125624,1216.895001220703,,1269.7852348316906,1216.895001220703,1164.0047676097156,22.699265410465088,3723.8089965820313,,4091.428531710466,3723.8089965820313,3356.189461453597,23.581360946177753,1768.2036926269532,,1912.296094586479,1768.2036926269532,1624.1112906674273
2025-03-10,53.654575952604716,1215.4800048828124,,1264.101915786072,1215.4800048828124,1166.858093979553,23.04134578152562,3702.0152099609377,,4053.544222784156,3702.0152099609377,3350.4861971377195,28.253788177049927,1758.2339660644532,,1898.0920911698577,1758.2339660644532,1618.3758409590487
2025-03-11,55.67064401422363,1215.1625061035156,,1262.8080774791372,1215.1625061035156,1167.516934727894,23.730152869064327,3679.1360717773437,,4007.4205147053212,3679.1360717773437,3350.851628849366,23.118163777056438,1747.45068359375,,1889.3917880006534,1747.45068359375,1605.5095791868466
2025-03-12,57.370540452802935,1216.272509765625,,1266.796719405854,1216.272509765625,1165.748300125396,24.597786446431044,3656.47001953125,,3974.6665767177296,3656.47001953125,3338.27346234477,21.33450953149648,1733.4082580566405,,1887.8105391808765,1733.4082580566405,1579.0059769324046
2025-03-13,53.64481962680172,1217.8400085449218,,1270.3083177075926,1217.8400085449218,1165.371699382251,25.47747303255362,3634.708447265625,,3937.517622771999,3634.708447265625,3331.8992717592514,17.74910332665081,1719.4397888183594,,1884.4516676686735,1719.4397888183594,1554.4279099680452
2025-03-17,52.56470425759515,1218.9775085449219,,1272.2669848254798,1218.9775085449219,1165.688032264364,23.975424962624274,3614.267626953125,,3903.4676805121057,3614.267626953125,3325.067573394144,20.42854357866466,1706.9554443359375,,1878.3322606009156,1706.9554443359375,1535.5786280709594
2025-03-18,56.23074655026383,1220.0575073242187,1240.957998046875,1274.0701804062678,1220.0575073242187,1166.0448342421696,29.94359570181031,3592.602685546875,3869.413193359375,3855.325412950106,3592.602685546875,3329.8799581436438,23.584751819151236,1693.8227233886719,1791.3909326171874,1865.5455909716509,1693.8227233886719,1522.0998558056929
